Species,bodyLengthMm,clutchSizeMinN,clutchSizeMaxN,habitatType,reproductiveMethod
allophryne ruthveni,31.0,300.0,300.0,terrestrial + aquatic + arboreal,larval
alytes cisternasii,50.0,60.0,180.0,terrestrial + aquatic + arboreal,larval
alytes dickhilleni,55.0,40.0,40.0,terrestrial + aquatic + arboreal,larval
alytes muletensis,40.0,7.0,20.0,terrestrial + arboreal,larval
alytes obstetricans,55.0,53.0,171.0,fossorial + terrestrial + aquatic + arboreal,larval
discoglossus galganoi,80.0,300.0,1500.0,fossorial + terrestrial + aquatic,larval
discoglossus jeanneae,60.0,1500.0,1500.0,fossorial + terrestrial + aquatic,larval
discoglossus montalentii,65.0,1000.0,1000.0,fossorial + terrestrial + aquatic,larval
discoglossus pictus,80.0,20.0,1500.0,fossorial + terrestrial + aquatic,larval
discoglossus sardus,70.0,1000.0,1000.0,fossorial + terrestrial + aquatic,larval
discoglossus scovazzi,70.0,1000.0,1000.0,fossorial + terrestrial + aquatic,larval
allobates brunneus,24.0,17.0,17.0,terrestrial + aquatic,larval
allobates femoralis,36.0,8.0,48.0,terrestrial + aquatic,larval
allobates marchesianus,18.0,13.0,27.0,terrestrial + aquatic + arboreal,larval
allobates nidicola,21.4,2.0,6.0,terrestrial,direct
allobates olfersioides,19.0,11.0,11.0,terrestrial,larval
allobates subfolionidificans,18.7,8.0,10.0,terrestrial,larval
allobates talamancae,25.0,18.0,50.0,terrestrial + aquatic,larval
allobates zaparo,31.0,26.0,66.0,terrestrial + aquatic,larval
anomaloglossus beebei,18.7,1.0,7.0,terrestrial,larval
anomaloglossus stepheni,18.24,4.0,6.0,terrestrial,larval
rheobates palmatus,39.0,3.0,44.0,terrestrial + aquatic,larval
mannophryne collaris,27.0,9.0,19.0,terrestrial + aquatic,larval
mannophryne lamarcai,30.8,10.0,10.0,terrestrial + aquatic,larval
mannophryne olmonae,12.0,12.0,12.0,terrestrial + aquatic,larval
mannophryne trinitatis,29.0,10.0,11.0,terrestrial + aquatic,larval
arthroleptis poecilonotus,33.4,10.0,30.0,terrestrial + aquatic + arboreal,direct
arthroleptis stenodactylus,45.0,30.0,80.0,terrestrial + aquatic,direct
arthroleptis xenochirus,24.0,9.0,9.0,terrestrial,direct
arthroleptis xenodactyloides,23.8,13.0,30.0,terrestrial + aquatic,direct
leptopelis flavomaculatus,70.0,250.0,250.0,terrestrial + aquatic + arboreal,larval
leptopelis spiritusnoctis,52.0,50.0,50.0,arboreal,larval
leptopelis viridis,50.0,187.0,187.0,fossorial + terrestrial + aquatic,larval
bombina bombina,50.0,80.0,300.0,fossorial + terrestrial + aquatic,larval
bombina orientalis,47.0,38.0,257.0,fossorial + terrestrial + aquatic,larval
bombina pachypus,45.75,300.0,300.0,fossorial + terrestrial + aquatic,larval
bombina variegata,50.0,45.0,170.0,fossorial + terrestrial + aquatic,larval
brachycephalus ephippium,19.7,5.0,5.0,terrestrial + aquatic,direct
ischnocnema guentheri,40.0,20.0,40.0,terrestrial,direct
ischnocnema holti,31.7,15.0,15.0,terrestrial + arboreal,direct
ischnocnema juipoca,26.26,15.0,15.0,terrestrial,direct
ischnocnema parva,25.5,8.0,30.0,terrestrial,direct
ischnocnema ramagii,30.0,10.0,10.0,terrestrial + arboreal,direct
ischnocnema randorum,18.2,7.0,7.0,terrestrial,direct
breviceps acutirostris,40.0,24.0,24.0,fossorial + terrestrial + aquatic,direct
breviceps adspersus,60.0,46.0,46.0,fossorial + terrestrial + aquatic,direct
breviceps fuscus,51.0,42.0,43.0,fossorial + terrestrial,direct
breviceps gibbosus,80.0,30.0,30.0,fossorial + terrestrial + aquatic,direct
breviceps macrops,50.0,43.0,43.0,fossorial + terrestrial + aquatic,direct
breviceps mossambicus,52.0,20.0,30.0,fossorial + terrestrial + aquatic,direct
breviceps sylvestris,50.0,56.0,56.0,fossorial + terrestrial + aquatic,direct
breviceps verrucosus,53.0,35.0,35.0,fossorial + terrestrial + aquatic,direct
probreviceps loveridgei,45.0,35.0,35.0,fossorial + terrestrial,direct
probreviceps macrodactylus,65.0,53.0,53.0,fossorial + terrestrial + aquatic,direct
probreviceps rhodesianus,48.0,20.0,20.0,terrestrial + aquatic,direct
probreviceps uluguruensis,43.0,20.0,20.0,terrestrial + aquatic,direct
bufo pentoni,95.0,2600.0,2600.0,terrestrial + aquatic,larval
adenomus kelaartii,50.0,1000.0,1000.0,terrestrial + aquatic + arboreal,larval
altiphrynoides malcolmi,31.5,11.0,31.0,terrestrial + arboreal,larval
altiphrynoides osgoodi,62.0,307.0,307.0,terrestrial,larval
amietophrynus garmani,115.0,12000.0,20000.0,terrestrial,larval
amietophrynus gutturalis,120.0,15000.0,25000.0,terrestrial,larval
amietophrynus maculatus,85.0,2000.0,8000.0,terrestrial + aquatic,larval
amietophrynus pantherinus,140.0,25000.0,25000.0,terrestrial + aquatic,larval
amietophrynus regularis,130.0,9000.0,13000.0,terrestrial,larval
amietophrynus superciliaris,120.0,4500.0,4500.0,terrestrial,larval
anaxyrus americanus,111.0,2000.0,20000.0,terrestrial,larval
anaxyrus baxteri,66.0,1000.0,6000.0,terrestrial + aquatic,larval
anaxyrus boreas,125.0,5213.0,16500.0,terrestrial,larval
anaxyrus californicus,81.0,2013.0,10368.0,terrestrial,larval
anaxyrus canorus,69.0,1500.0,5000.0,terrestrial,larval
anaxyrus cognatus,114.0,1342.0,45054.0,fossorial + terrestrial,larval
anaxyrus compactilis,91.0,5000.0,5000.0,terrestrial,larval
anaxyrus debilis,54.0,2000.0,2000.0,fossorial + terrestrial,larval
anaxyrus fowleri,95.0,1998.0,10000.0,terrestrial,larval
anaxyrus hemiophrys,83.0,3354.0,6000.0,terrestrial + aquatic,larval
anaxyrus houstonensis,79.0,513.0,6199.0,fossorial + terrestrial,larval
anaxyrus mexicanus,70.0,4000.0,4000.0,terrestrial + aquatic,larval
anaxyrus microscaphus,81.0,3650.0,4500.0,terrestrial,larval
anaxyrus punctatus,76.0,30.0,5000.0,fossorial + terrestrial,larval
anaxyrus quercicus,33.0,6000.0,6000.0,fossorial + terrestrial,larval
anaxyrus retiformis,60.0,200.0,200.0,terrestrial,larval
anaxyrus speciosus,92.0,20.0,20.0,fossorial + terrestrial,larval
anaxyrus terrestris,116.3,4000.0,4000.0,fossorial + terrestrial,larval
anaxyrus woodhousii,127.0,10500.0,28500.0,fossorial + terrestrial,larval
ansonia malayana,29.0,300.0,300.0,terrestrial + aquatic,larval
atelopus carbonerensis,54.1,279.0,279.0,terrestrial + aquatic,larval
atelopus chiriquiensis,58.0,18.0,365.0,terrestrial + aquatic,larval
atelopus cruciger,50.0,271.0,271.0,terrestrial + aquatic,larval
atelopus elegans,35.7,370.0,370.0,terrestrial + aquatic,larval
atelopus franciscus,26.5,250.0,250.0,terrestrial + aquatic,larval
atelopus ignescens,48.2,372.0,372.0,terrestrial + aquatic,larval
atelopus muisca,42.4,69.0,69.0,terrestrial + aquatic,larval
atelopus sernai,33.3,220.0,220.0,terrestrial + aquatic,larval
