Species,bodyLengthMm,clutchSizeMinN,clutchSizeMaxN,habitatType,reproductiveMethod
atelopus cruciger,50.0,271.0,271.0,terrestrial + aquatic,larval
limnonectes microdiscus,70.0,53.0,53.0,terrestrial + aquatic,larval
hyla savignyi,49.0,200.0,1000.0,aquatic + arboreal,larval
scinax littoralis,39.9,398.0,701.0,terrestrial + aquatic + arboreal,larval
lithobates forreri,114.0,100.0,100.0,terrestrial + aquatic,larval
litoria lorica,35.0,50.0,163.0,terrestrial + aquatic + arboreal,larval
hylodes asper,44.9,57.0,114.0,terrestrial + aquatic + arboreal,larval
litoria fallax,25.0,263.0,1000.0,terrestrial + arboreal,larval
gastrotheca christiani,40.0,2.0,10.0,terrestrial + aquatic + arboreal,larval
hypsiboas rosenbergi,95.0,265.0,2500.0,terrestrial + aquatic + arboreal,larval
boophis xerophilus,48.8,999.0,4235.0,terrestrial + arboreal,larval
leptodactylus albilabris,49.0,138.0,200.0,terrestrial + aquatic + arboreal,larval
pseudophryne dendyi,35.0,70.0,170.0,terrestrial + aquatic,larval
hyloxalus elachyhistus,25.7,8.0,19.0,terrestrial + aquatic,larval
eleutherodactylus cuneatus,60.3,27.0,43.0,terrestrial + aquatic + arboreal,direct
aphantophryne sabini,24.1,13.0,18.0,terrestrial + aquatic,direct
hoplobatrachus rugulosus,82.4,600.0,2000.0,terrestrial + aquatic + arboreal,larval
hyla chinensis,34.2,459.0,459.0,aquatic + arboreal,larval
atelopus ignescens,48.2,372.0,372.0,terrestrial + aquatic,larval
platyplectrum spenceri,50.0,1128.0,1128.0,fossorial + terrestrial,larval
leptodactylus mystaceus,60.0,171.0,425.0,fossorial + terrestrial + aquatic,larval
leptobrachium ailaonicum,75.6,245.0,436.0,terrestrial,larval
ischnocnema randorum,18.2,7.0,7.0,terrestrial,direct
hylarana nigrovittata,70.0,232.0,330.0,terrestrial + aquatic,larval
quasipaa verrucospinosa,146.5,164.0,6172.0,terrestrial + aquatic,larval
dendropsophus elegans,35.7,300.0,411.0,terrestrial + arboreal,larval
chiromantis vittatus,25.7,217.0,217.0,terrestrial + arboreal,larval
scinax angrensis,39.2,369.0,516.0,terrestrial + aquatic + arboreal,larval
dendropsophus sarayacuensis,44.0,51.0,186.0,terrestrial + aquatic + arboreal,larval
caecilia orientalis,625.0,30.0,120.0,fossorial + terrestrial + aquatic,larval
bolitoglossa orestes,46.9,2545.0,2545.0,terrestrial + aquatic,direct
pristimantis conspicillatus,49.0,62.0,62.0,terrestrial + arboreal,direct
zachaenus carvalhoi,37.0,37.0,37.0,terrestrial + aquatic,larval
polypedates maculatus,83.0,599.0,599.0,terrestrial + arboreal,larval
phyllobates aurotaenia,34.0,30.0,30.0,terrestrial + aquatic,larval
pristimantis paululus,21.0,5.0,5.0,terrestrial + arboreal,direct
salamandrella keyserlingii,145.0,70.0,70.0,terrestrial + aquatic,larval
meristogenys jerboa,88.7,600.0,2463.0,fossorial + terrestrial + aquatic,larval
odorrana swinhoana,84.6,45.0,45.0,terrestrial + aquatic,larval
amietia fuscigula,125.0,15000.0,15000.0,terrestrial + aquatic,larval
brachytarsophrys feae,101.2,1000.0,1001.0,terrestrial + aquatic + arboreal,larval
hyperolius thomensis,47.0,50.0,60.0,aquatic + arboreal,larval
lithobates catesbeianus,203.0,8000.0,25500.0,terrestrial + aquatic,larval
hypsiboas boans,132.0,1160.0,4800.0,terrestrial + aquatic + arboreal,larval
hyperolius kivuensis,39.0,190.0,243.0,terrestrial + aquatic + arboreal,larval
plectrohyla matudai,49.0,101.0,144.0,terrestrial + aquatic + arboreal,larval
melanophryniscus moreirae,30.0,78.0,78.0,terrestrial + aquatic,larval
gyrinophilus porphyriticus,232.0,16.0,106.0,terrestrial + aquatic,larval
leptodactylus latinasus,40.0,3696.0,3696.0,terrestrial + aquatic,larval
dendropsophus haddadi,24.0,45.0,45.0,terrestrial + aquatic,larval
hypsiboas cinerascens,36.2,165.0,840.0,terrestrial + arboreal,larval
craugastor fitzingeri,53.0,24.0,92.0,terrestrial + arboreal,direct
gastrotheca marsupiata,49.6,167.0,167.0,terrestrial + aquatic,larval
eleutherodactylus orientalis,13.3,1.0,1.0,terrestrial + aquatic,direct
hypsiboas raniceps,82.0,217.0,3096.0,terrestrial + arboreal,larval
anaxyrus californicus,81.0,2013.0,10368.0,terrestrial,larval
rhinella schneideri,250.0,217.0,3000.0,terrestrial + aquatic,larval
hypsiboas curupi,47.0,263.0,263.0,terrestrial + aquatic + arboreal,larval
nanorana ercepeae,86.0,188.0,188.0,terrestrial,larval
scinax acuminatus,48.0,594.0,1352.0,terrestrial + aquatic + arboreal,larval
pelodytes caucasicus,47.16,415.0,415.0,fossorial + terrestrial + aquatic,larval
incilius coccifer,99.0,3000.0,6000.0,terrestrial,larval
bufo verrucosissimus,190.0,190.0,10500.0,terrestrial + aquatic,larval
dendropsophus triangulum,42.0,79.0,690.0,terrestrial + aquatic + arboreal,larval
speleomantes supramontis,135.0,10.0,10.0,terrestrial + aquatic,direct
hyperolius viridiflavus,34.0,12.0,650.0,terrestrial + arboreal,larval
cruziohyla calcarifer,87.0,10.0,54.0,arboreal,larval
hyperolius parkeri,28.0,36.0,110.0,terrestrial + arboreal,larval
lithobates sevosus,105.0,500.0,7000.0,terrestrial + aquatic,larval
litoria chloris,70.0,1053.0,1053.0,terrestrial + aquatic + arboreal,larval
dermatonotus muelleri,74.15,3696.0,3696.0,fossorial + terrestrial + aquatic,larval
limnonectes arathooni,39.6,10.0,29.0,terrestrial + aquatic,larval
flectonotus pygmaeus,32.4,5.0,13.0,terrestrial + arboreal,larval
nasikabatrachus sahyadrensis,90.0,1100.0,3600.0,fossorial,larval
pelophylax cretensis,80.0,15000.0,15000.0,terrestrial + aquatic,larval
mixophyes fleayi,80.0,120.0,1750.0,terrestrial + aquatic,larval
capensibufo rosei,39.0,200.0,200.0,terrestrial + aquatic,larval
paramesotriton guanxiensis,139.0,115.0,115.0,aquatic,larval
metacrinia nichollsi,25.0,12.0,30.0,terrestrial + aquatic,direct
oreolalax multipunctatus,49.8,78.0,78.0,terrestrial + aquatic + arboreal,larval
amietophrynus gutturalis,120.0,15000.0,25000.0,terrestrial,larval
nyctibatrachus humayuni,50.6,28.0,38.0,terrestrial + aquatic + arboreal,larval
nelsonophryne aterrima,70.0,75.0,75.0,fossorial + terrestrial + aquatic,larval
phyllomedusa sauvagii,96.6,201.0,829.0,terrestrial + aquatic + arboreal,larval
pseudopaludicola boliviana,14.1,50.0,319.0,terrestrial + aquatic,larval
uperoleia crassa,30.0,368.0,368.0,terrestrial + aquatic,larval
nanorana liebigii,169.0,104.0,104.0,terrestrial,larval
leptodactylus diptyx,25.0,26.0,146.0,fossorial + terrestrial + aquatic,larval
hyloxalus vertebralis,20.2,5.0,12.0,terrestrial,larval
strabomantis anomalus,92.4,69.0,69.0,terrestrial + aquatic,direct
leptodactylus podicipinus,54.0,1708.0,2953.0,terrestrial + aquatic,larval
geocrinia rosea,25.0,25.0,30.0,terrestrial + aquatic,direct
ambystoma barbouri,168.0,260.0,260.0,fossorial + terrestrial + aquatic,larval
litoria watjulumensis,75.0,30.0,200.0,terrestrial + aquatic + arboreal,larval
pelophylax bergeri,80.0,3000.0,3000.0,terrestrial + aquatic,larval
tomopterna marmorata,50.0,150.0,150.0,fossorial + terrestrial + aquatic,larval
litoria havina,38.0,3.0,36.0,terrestrial + aquatic + arboreal,larval
neobatrachus kunapalari,62.2,21.0,1616.0,fossorial + terrestrial + aquatic,larval
eleutherodactylus adelus,15.0,3.0,4.0,terrestrial,direct
bolitoglossa adspersa,66.0,10.0,10.0,terrestrial + aquatic,direct
hyla arenicolor,57.1,232.0,232.0,terrestrial + aquatic + arboreal,larval
